Iteration,Mean,Stdev,Run-0
0,4188.493037437828,0.0,4188.493037437828
1,4188.493037437828,0.0,4188.493037437828
2,4188.493037437828,0.0,4188.493037437828
3,4188.493037437828,0.0,4188.493037437828
4,4188.4930374378255,0.0,4188.4930374378255
5,4188.4930374378255,0.0,4188.4930374378255
6,4188.4930374378255,0.0,4188.4930374378255
7,4188.493037437827,0.0,4188.493037437827
8,4188.493037437827,0.0,4188.493037437827
9,4188.493037437827,0.0,4188.493037437827
10,4188.493037437828,0.0,4188.493037437828
11,4188.493037437828,0.0,4188.493037437828
12,4188.493037437828,0.0,4188.493037437828
13,4188.493037437827,0.0,4188.493037437827
14,4188.493037437827,0.0,4188.493037437827
15,4188.493037437827,0.0,4188.493037437827
16,4188.49303743783,0.0,4188.49303743783
17,4188.49303743783,0.0,4188.49303743783
18,4188.49303743783,0.0,4188.49303743783
19,4188.493037437828,0.0,4188.493037437828
20,4188.493037437828,0.0,4188.493037437828
21,4188.493037437828,0.0,4188.493037437828
22,4188.493037437828,0.0,4188.493037437828
23,4188.493037437828,0.0,4188.493037437828
24,4188.493037437828,0.0,4188.493037437828
25,4188.493037437827,0.0,4188.493037437827
26,4188.493037437827,0.0,4188.493037437827
27,4188.493037437827,0.0,4188.493037437827
28,4188.493037437824,0.0,4188.493037437824
29,4188.493037437824,0.0,4188.493037437824
30,4188.493037437824,0.0,4188.493037437824
31,4188.493037437828,0.0,4188.493037437828
32,4188.493037437828,0.0,4188.493037437828
33,4188.493037437828,0.0,4188.493037437828
34,4188.493037437827,0.0,4188.493037437827
35,4188.493037437827,0.0,4188.493037437827
36,4188.493037437827,0.0,4188.493037437827
37,4188.493037437826,0.0,4188.493037437826
38,4188.493037437826,0.0,4188.493037437826
39,4188.493037437826,0.0,4188.493037437826
40,4188.493037437827,0.0,4188.493037437827
41,4188.493037437827,0.0,4188.493037437827
42,4188.493037437827,0.0,4188.493037437827
43,4188.493037437829,0.0,4188.493037437829
44,4188.493037437829,0.0,4188.493037437829
45,4188.493037437829,0.0,4188.493037437829
46,4188.493037437827,0.0,4188.493037437827
47,4188.493037437827,0.0,4188.493037437827
48,4188.493037437827,0.0,4188.493037437827
49,4188.493037437829,0.0,4188.493037437829
