Iteration,Mean,Stdev,Run-0
0,0.046,0.0,0.046
1,1.467,0.0,1.467
2,1.692,0.0,1.692
3,1.781,0.0,1.781
4,1.781,0.0,1.781
5,1.829,0.0,1.829
6,1.86,0.0,1.86
7,1.86,0.0,1.86
8,1.896,0.0,1.896
9,1.917,0.0,1.917
10,1.917,0.0,1.917
11,1.909,0.0,1.909
12,1.895,0.0,1.895
13,1.895,0.0,1.895
14,1.884,0.0,1.884
15,1.892,0.0,1.892
16,1.892,0.0,1.892
17,1.86,0.0,1.86
18,1.842,0.0,1.842
19,1.842,0.0,1.842
20,1.834,0.0,1.834
21,1.835,0.0,1.835
22,1.835,0.0,1.835
23,1.833,0.0,1.833
24,1.826,0.0,1.826
25,1.826,0.0,1.826
26,1.81,0.0,1.81
27,1.806,0.0,1.806
28,1.806,0.0,1.806
29,1.798,0.0,1.798
30,1.796,0.0,1.796
31,1.796,0.0,1.796
32,1.788,0.0,1.788
33,1.78,0.0,1.78
34,1.78,0.0,1.78
35,1.777,0.0,1.777
36,1.785,0.0,1.785
37,1.785,0.0,1.785
38,1.778,0.0,1.778
39,1.778,0.0,1.778
40,1.778,0.0,1.778
41,1.774,0.0,1.774
42,1.768,0.0,1.768
43,1.768,0.0,1.768
44,1.768,0.0,1.768
45,1.775,0.0,1.775
46,1.775,0.0,1.775
47,1.774,0.0,1.774
48,1.77,0.0,1.77
49,1.77,0.0,1.77
