Iteration,Mean,Stdev,Run-0
0,4094.2776913431394,0.0,4094.2776913431394
1,23.418162592730596,0.0,23.418162592730596
2,7.417747072327106,0.0,7.417747072327106
3,3.1298592244517867,0.0,3.1298592244517867
4,1.4104773470529919,0.0,1.4104773470529919
5,0.8865901759451424,0.0,0.8865901759451424
6,0.6513824417035188,0.0,0.6513824417035188
7,0.5011740777203062,0.0,0.5011740777203062
8,0.43133993257445286,0.0,0.43133993257445286
9,0.36921322862587264,0.0,0.36921322862587264
10,0.3895099871568945,0.0,0.3895099871568945
11,0.3667188852398306,0.0,0.3667188852398306
12,0.30505880064841123,0.0,0.30505880064841123
13,0.3206496628033773,0.0,0.3206496628033773
14,0.3284161714367909,0.0,0.3284161714367909
15,0.26392359994879977,0.0,0.26392359994879977
16,0.2510782275402615,0.0,0.2510782275402615
17,0.20353083115420273,0.0,0.20353083115420273
18,0.1723091166186201,0.0,0.1723091166186201
19,0.16249748629590874,0.0,0.16249748629590874
20,0.17331497204307472,0.0,0.17331497204307472
21,0.18022235342488702,0.0,0.18022235342488702
22,0.1846848869526102,0.0,0.1846848869526102
23,0.18642229199665952,0.0,0.18642229199665952
24,0.16653547340643493,0.0,0.16653547340643493
25,0.16706833717668795,0.0,0.16706833717668795
26,0.1574632889060324,0.0,0.1574632889060324
27,0.16127904979346702,0.0,0.16127904979346702
28,0.1570266614410955,0.0,0.1570266614410955
29,0.1514687659515384,0.0,0.1514687659515384
30,0.1499849631411471,0.0,0.1499849631411471
31,0.16483105670739798,0.0,0.16483105670739798
32,0.14510134434224806,0.0,0.14510134434224806
33,0.1526992843802593,0.0,0.1526992843802593
34,0.1532425859555335,0.0,0.1532425859555335
35,0.15090873385802764,0.0,0.15090873385802764
36,0.1663834939179728,0.0,0.1663834939179728
37,0.1663834939179728,0.0,0.1663834939179728
38,0.8865901759450836,0.0,0.8865901759450836
39,0.6929692947447514,0.0,0.6929692947447514
40,0.49400701416558035,0.0,0.49400701416558035
41,0.41773652383370125,0.0,0.41773652383370125
42,0.3304755168949517,0.0,0.3304755168949517
43,0.319473859064207,0.0,0.319473859064207
44,0.3115222566805433,0.0,0.3115222566805433
45,0.269201653769303,0.0,0.269201653769303
46,0.22870130833654226,0.0,0.22870130833654226
47,0.20402034832774102,0.0,0.20402034832774102
48,0.22738170332620167,0.0,0.22738170332620167
49,0.1864597168709416,0.0,0.1864597168709416
